dataset,subset,cluster_id,cluster_size,node_id,file_path,language,source_element_path
KMT,all_notes_en,all_notes_en_cluster_dita_document:3f0f105fd5aed15c1880,7,dita_document:a0e49220c82391d86587,KA-05072_note_0003.dita,,KA-05072_note_0003.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:3f0f105fd5aed15c1880,7,dita_document:f970b1d825f9f47015c1,KA-05072_note_0025.dita,,KA-05072_note_0025.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:3f0f105fd5aed15c1880,7,dita_document:2c07c433370c9179c5c9,KA-05072_note_0048.dita,,KA-05072_note_0048.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:3f0f105fd5aed15c1880,7,dita_document:1f2bf11f31f5e7cde81f,KA-05072_note_0054.dita,,KA-05072_note_0054.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:07a5b0d81b1116d518ac,4,dita_document:0212300a32afdf09f7e4,KA-01590_note_0018.dita,,KA-01590_note_0018.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:07a5b0d81b1116d518ac,4,dita_document:07a5b0d81b1116d518ac,KA-01621_note_0015.dita,,KA-01621_note_0015.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:07a5b0d81b1116d518ac,4,dita_document:15876a4de728b394da33,KA-01784_note_0014.dita,,KA-01784_note_0014.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:07a5b0d81b1116d518ac,4,dita_document:88cd19d3ffd3ea44d7dd,KA-01812_note_0001.dita,,KA-01812_note_0001.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:842faa49c424749247ae,3,dita_document:842faa49c424749247ae,KA-01590_note_0020.dita,,KA-01590_note_0020.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:842faa49c424749247ae,3,dita_document:c1bf2ad8e96fb250f116,KA-01621_note_0016.dita,,KA-01621_note_0016.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:842faa49c424749247ae,3,dita_document:fddbc72f31cfcbe1ba5a,KA-01698_note_0007.dita,,KA-01698_note_0007.dita
KMT,all_notes_en,all_notes_en_cluster_dita_document:cc9e4b7ed5a3c578866a,2,dita_document:cc9e4b7ed5a3c578866a,KA-01590_note_0026.dita,,KA-01590_note_0026.dita
